timestamp,building_id,wifi_connection_count,class_scheduled_size,ambient_temperature,actual_occupancy
2024-01-01 00:00:00,B3,256,163,27.676843406794074,235
2024-01-01 01:00:00,B1,396,250,23.5108785311635,351
2024-01-01 02:00:00,B3,252,226,18.62347893065122,228
2024-01-01 03:00:00,B3,40,6,27.435338392608397,34
2024-01-01 04:00:00,B1,49,28,20.416365385631693,48
2024-01-01 05:00:00,B1,238,32,21.103450018656467,144
2024-01-01 06:00:00,B3,45,133,19.97647624118755,88
2024-01-01 07:00:00,B2,417,78,21.96258077845797,296
2024-01-01 08:00:00,B3,232,57,27.08101806826362,150
2024-01-01 09:00:00,B3,15,25,24.23263031404725,9
2024-01-01 10:00:00,B3,331,225,20.45857528980855,298
2024-01-01 11:00:00,B3,477,284,28.53396093782449,402
2024-01-01 12:00:00,B1,229,3,28.554982259418352,144
2024-01-01 13:00:00,B3,84,98,28.44694110055208,93
2024-01-01 14:00:00,B2,13,38,20.865554536578472,26
2024-01-01 15:00:00,B1,344,270,23.414872130171858,301
2024-01-01 16:00:00,B2,143,284,29.8198758736905,209
2024-01-01 17:00:00,B2,127,156,27.264149715719885,150
2024-01-01 18:00:00,B2,378,74,18.326009054706716,254
2024-01-01 19:00:00,B2,103,287,18.782455095125904,176
2024-01-01 20:00:00,B1,495,129,23.567176521747992,333
2024-01-01 21:00:00,B1,444,174,28.910642470338722,341
2024-01-01 22:00:00,B2,71,83,24.46442157543257,81
2024-01-01 23:00:00,B2,450,21,23.973750096411482,277
2024-01-02 00:00:00,B1,203,26,19.265684399479568,143
2024-01-02 01:00:00,B1,344,194,25.881361256691527,280
2024-01-02 02:00:00,B1,212,235,27.865237927202706,226
2024-01-02 03:00:00,B3,401,91,22.565040090090747,266
2024-01-02 04:00:00,B3,35,20,27.30734221110393,28
2024-01-02 05:00:00,B3,444,83,29.573719846809738,297
2024-01-02 06:00:00,B2,182,261,20.44519750953227,215
2024-01-02 07:00:00,B3,309,146,24.279955574336896,240
2024-01-02 08:00:00,B2,142,256,21.445655497014908,186
2024-01-02 09:00:00,B2,335,57,27.514253028406074,232
2024-01-02 10:00:00,B3,419,14,24.931120390573888,252
2024-01-02 11:00:00,B2,127,161,25.614989010603644,124
2024-01-02 12:00:00,B3,333,162,27.574969915390728,282
2024-01-02 13:00:00,B3,284,280,22.751645671949458,296
2024-01-02 14:00:00,B1,221,279,28.981080820884518,231
2024-01-02 15:00:00,B3,234,11,24.39634640695368,151
2024-01-02 16:00:00,B1,29,273,19.895457874024174,121
2024-01-02 17:00:00,B3,122,270,26.350789418025627,183
2024-01-02 18:00:00,B3,149,207,27.519136205259052,175
2024-01-02 19:00:00,B1,56,26,21.80114012481032,41
2024-01-02 20:00:00,B1,10,71,28.286151083985036,26
2024-01-02 21:00:00,B3,99,59,28.8737190571892,76
2024-01-02 22:00:00,B2,151,144,21.322853848533708,139
